Links ,Que_Language,vote_average,vote_count,Type,problems,Topic
https://leetcode.com/problems/combinations/,English,5.8,1303,recurrsion,"Given two integers n and k, return all possible combinations of k numbers chosen from the range [1, n].

You may return the answer in any order.",Combination Sum
https://leetcode.com/problems/combination-sum//,English,5.8,1810,recurrsion,"Given an array of distinct integers candidates and a target integer target, return a list of all unique combinations of candidates where the chosen numbers sum to target. You may return the combinations in any order.

The same number may be chosen from candidates an unlimited number of times. Two combinations are unique if the 
frequency
 of at least one of the chosen numbers is different.

The test cases are generated such that the number of unique combinations that sum up to target is less than 150 combinations for the given input.
",Combination Sum II
https://leetcode.com/problems/combination-sum-ii/,English,5.7,1971,recurrsion,"Given a collection of candidate numbers (candidates) and a target number (target), find all unique combinations in candidates where the candidate numbers sum to target.

Each number in candidates may only be used once in the combination.

Note: The solution set must not contain duplicate combinations.
",Combination Sum III
https://leetcode.com/problems/combination-sum-iii/,English,6.5,4021,recurrsion,"Find all valid combinations of k numbers that sum up to n such that the following conditions are true:

Only numbers 1 through 9 are used.
Each number is used at most once.
Return a list of all possible valid combinations. The list must not contain the same combination twice, and the combinations may be returned in any order.",Letter Combinations of a Phone Number
https://leetcode.com/problems/letter-combinations-of-a-phone-number/,English,6.3,3096,recurrsion,"Given a string containing digits from 2-9 inclusive, return all possible letter combinations that the number could represent. Return the answer in any order.

A mapping of digits to letters (just like on the telephone buttons) is given below. Note that 1 does not map to any letters.",Partition to K Equal Sum Subsets
https://leetcode.com/problems/partition-to-k-equal-sum-subsets/,English,5.8,5295,recurrsion,"Given an integer array nums and an integer k, return true if it is possible to divide this array into k non-empty subsets whose sums are all equal.",Palindrome Partitioning
https://leetcode.com/problems/palindrome-partitioning/,English,5.1,3443,recurrsion,"Given a string s, partition s such that every 
substring
 of the partition is a 
palindrome
. Return all possible palindrome partitioning of s.

",Permutation Sequence
https://leetcode.com/problems/permutation-sequence/,English,7.6,4755,recurrsion,"he set [1, 2, 3, ..., n] contains a total of n! unique permutations.

By listing and labeling all of the permutations in order, we get the following sequence for n = 3:

""123""
""132""
""213""
""231""
""312""
""321""
Given n and k, return the kth permutation sequence.",Maximum Length of a Concatenated String with Unique Characters
https://leetcode.com/problems/maximum-length-of-a-concatenated-string-with-unique-characters/,English,5.9,9427,recurrsion,"You are given an array of strings arr. A string s is formed by the concatenation of a subsequence of arr that has unique characters.

Return the maximum possible length of s.

A subsequence is an array that can be derived from another array by deleting some or no elements without changing the order of the remaining elements.
",Flood Fill
https://leetcode.com/problems/flood-fill/,English,7.3,2129,recurrsion,"An image is represented by an m x n integer grid image where image[i][j] represents the pixel value of the image.

You are also given three integers sr, sc, and color. You should perform a flood fill on the image starting from the pixel image[sr][sc].

To perform a flood fill, consider the starting pixel, plus any pixels connected 4-directionally to the starting pixel of the same color as the starting pixel, plus any pixels connected 4-directionally to those pixels (also with the same color), and so on. Replace the color of all of the aforementioned pixels with color.

Return the modified image after performing the flood fill.
",Word Search
https://leetcode.com/problems/word-search/,English,6.7,6525,recurrsion,"Given an m x n grid of characters board and a string word, return true if word exists in the grid.

The word can be constructed from letters of sequentially adjacent cells, where adjacent cells are horizontally or vertically neighboring. The same letter cell may not be used more than once.

",N-Queens
https://leetcode.com/problems/n-queens/,English,7.5,1750,recurrsion with backtracking,"The n-queens puzzle is the problem of placing n queens on an n x n chessboard such that no two queens attack each other.

Given an integer n, return all distinct solutions to the n-queens puzzle. You may return the answer in any order.

Each solution contains a distinct board configuration of the n-queens' placement, where 'Q' and '.' both indicate a queen and an empty space, respectively.",Sudoku Solver
https://leetcode.com/problems/sudoku-solver//,English,7.4,510,recurrsion with backtracking,"Write a program to solve a Sudoku puzzle by filling the empty cells.

A sudoku solution must satisfy all of the following rules:

Each of the digits 1-9 must occur exactly once in each row.
Each of the digits 1-9 must occur exactly once in each column.
Each of the digits 1-9 must occur exactly once in each of the 9 3x3 sub-boxes of the grid.
The '.' character indicates empty cells.",M-Coloring Problem
https://practice.geeksforgeeks.org/problems/m-coloring-problem-1587115620/1#,English,5.5,1431,recurrsion with backtracking,Given an undirected graph and an integer M. The task is to determine if the graph can be colored with at most M colors such that no two adjacent vertices of the graph are colored with the same color. Here coloring of a graph means the assignment of colors to all vertices. Print 1 if it is possible to colour vertices and 0 otherwise.,Rat in a Maze Problem - I
https://practice.geeksforgeeks.org/problems/rat-in-a-maze-problem/1,English,7.3,2320,recurrsion with backtracking,"Consider a rat placed at (0, 0) in a square matrix of order N * N. It has to reach the destination at (N - 1, N - 1). Find all possible paths that the rat can take to reach from source to destination. The directions in which the rat can move are 'U'(up), 'D'(down), 'L' (left), 'R' (right). Value 0 at a cell in the matrix represents that it is blocked and rat cannot move to it while value 1 at a cell in the matrix represents that rat can be travel through it.
Note: In a path, no cell can be visited more than one time. If the source cell is 0, the rat cannot move to any other cell.",Reverse Linked List
https://leetcode.com/problems/reverse-linked-list/,English,6.2,3224,linkedlist,"Given the head of a singly linked list, reverse the list, and return the reversed list.
",Middle of the Linked List
https://leetcode.com/problems/middle-of-the-linked-list/,English,6.7,549,linkedlist,"Given the head of a singly linked list, return the middle node of the linked list.

If there are two middle nodes, return the second middle node.",Merge Two Sorted Lists
https://leetcode.com/problems/merge-two-sorted-lists/,English,6.1,1171,linkedlist,"You are given the heads of two sorted linked lists list1 and list2.

Merge the two lists in a one sorted list. The list should be made by splicing together the nodes of the first two lists.

Return the head of the merged linked list.",Merge k Sorted Lists
https://leetcode.com/problems/merge-k-sorted-lists//,English,5.7,1880,linkedlist,"You are given an array of k linked-lists lists, each linked-list is sorted in ascending order.

Merge all the linked-lists into one sorted linked-list and return it.",Remove Nth Node from End of List
https://leetcode.com/problems/remove-nth-node-from-end-of-list/,English,6.6,1151,linkedlist,"Given the head of a linked list, remove the nth node from the end of the list and return its head.",Delete Node in a Linked List
https://leetcode.com/problems/delete-node-in-a-linked-list//,English,6.7,2028,linkedlist,"There is a singly-linked list head and we want to delete a node node in it.

You are given the node to be deleted node. You will not be given access to the first node of head.

All the values of the linked list are unique, and it is guaranteed that the given node node is not the last node in the linked list.

Delete the given node. Note that by deleting the node, we do not mean removing it from memory. We mean:

The value of the given node should not exist in the linked list.
The number of nodes in the linked list should decrease by one.
All the values before node should be in the same order.
All the values after node should be in the same order.
Custom testing:

For the input, you should provide the entire linked list head and the node to be given node. node should not be the last node of the list and should be an actual node in the list.
We will build the linked list and pass the node to your function.
The output will be the entire list after calling your function.",Add Two Numbers
https://leetcode.com/problems/add-two-numbers//,English,6.6,1891,linkedlist,"You are given two non-empty linked lists representing two non-negative integers. The digits are stored in reverse order, and each of their nodes contains a single digit. Add the two numbers and return the sum as a linked list.

You may assume the two numbers do not contain any leading zero, except the number 0 itself.",Intersection of Two Linked Lists
https://leetcode.com/problems/intersection-of-two-linked-lists/,English,7.8,199,linkedlist,"Given the heads of two singly linked-lists headA and headB, return the node at which the two lists intersect. If the two linked lists have no intersection at all, return null.

For example, the following two linked lists begin to intersect at node c1:
",Linked List Cycle
https://leetcode.com/problems/linked-list-cycle/,English,6.1,874,linkedlist,"Given head, the head of a linked list, determine if the linked list has a cycle in it.

There is a cycle in a linked list if there is some node in the list that can be reached again by continuously following the next pointer. Internally, pos is used to denote the index of the node that tail's next pointer is connected to. Note that pos is not passed as a parameter.

Return true if there is a cycle in the linked list. Otherwise, return false.",Linked List Cycle II
https://leetcode.com/problems/linked-list-cycle-ii/,English,5.6,954,linkedlist,"Given the head of a linked list, return the node where the cycle begins. If there is no cycle, return null.

There is a cycle in a linked list if there is some node in the list that can be reached again by continuously following the next pointer. Internally, pos is used to denote the index of the node that tail's next pointer is connected to (0-indexed). It is -1 if there is no cycle. Note that pos is not passed as a parameter.

Do not modify the linked list.",Reverse Nodes in k-Group
https://leetcode.com/problems/reverse-nodes-in-k-group/,English,6.6,843,linkedlist,"Given the head of a linked list, reverse the nodes of the list k at a time, and return the modified list.

k is a positive integer and is less than or equal to the length of the linked list. If the number of nodes is not a multiple of k then left-out nodes, in the end, should remain as it is.

You may not alter the values in the list's nodes, only nodes themselves may be changed.",Palindrome Linked List
https://leetcode.com/problems/palindrome-linked-list/,English,5.2,2759,linkedlist,"Given the head of a singly linked list, return true if it is a 
palindrome or false otherwise.

",Flattening a Linked List
https://practice.geeksforgeeks.org/problems/flattening-a-linked-list/1,English,5.5,1808,linkedlist,"Given a Linked List of size N, where every node represents a sub-linked-list and contains two pointers:
(i) a next pointer to the next node,
(ii) a bottom pointer to a linked list where this node is head.
Each of the sub-linked-list is in sorted order.
Flatten the Link List such that all the nodes appear in a single level while maintaining the sorted order. ",Rotate List
https://leetcode.com/problems/rotate-list/description/,English,6.7,1092,linkedlist,"Given the head of a linked list, rotate the list to the right by k places",Convert Binary Number in a Linked List to Integer
https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer/,English,6.4,2142,linkedlist,"Given head which is a reference node to a singly-linked list. The value of each node in the linked list is either 0 or 1. The linked list holds the binary representation of a number.

Return the decimal value of the number in the linked list.

The most significant bit is at the head of the linked list.",Remove Duplicates from Sorted List
https://leetcode.com/problems/remove-duplicates-from-sorted-list/,English,8.2,2482,linkedlist,"Given the head of a sorted linked list, delete all duplicates such that each element appears only once. Return the linked list sorted as well.
",Remove Linked List Elements
https://leetcode.com/problems/remove-linked-list-elements//,English,7.7,3114,linkedlist,"Given the head of a linked list and an integer val, remove all the nodes of the linked list that has Node.val == val, and return the new head.

 ",Valid Parentheses
https://leetcode.com/problems/valid-parentheses/https://leetcode.com/problems/valid-parentheses/,English,6,841,stack,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid.

An input string is valid if:

Open brackets must be closed by the same type of brackets.
Open brackets must be closed in the correct order.
Every close bracket has a corresponding open bracket of the same type.",Min Stack
https://leetcode.com/problems/min-stack/,English,7.4,1603,stack,"Design a stack that supports push, pop, top, and retrieving the minimum element in constant time.

Implement the MinStack class:

MinStack() initializes the stack object.
void push(int val) pushes the element val onto the stack.
void pop() removes the element on the top of the stack.
int top() gets the top element of the stack.
int getMin() retrieves the minimum element in the stack.
You must implement a solution with O(1) time complexity for each function.

",Next Greater Element I
https://leetcode.com/problems/next-greater-element-i/,English,7,3972,stack,"The next greater element of some element x in an array is the first greater element that is to the right of x in the same array.

You are given two distinct 0-indexed integer arrays nums1 and nums2, where nums1 is a subset of nums2.

For each 0 <= i < nums1.length, find the index j such that nums1[i] == nums2[j] and determine the next greater element of nums2[j] in nums2. If there is no next greater element, then the answer for this query is -1.

Return an array ans of length nums1.length such that ans[i] is the next greater element as described above.

 ",Next Greater Element II
https://leetcode.com/problems/next-greater-element-ii/,English,5.1,1922,stack,"Given a circular integer array nums (i.e., the next element of nums[nums.length - 1] is nums[0]), return the next greater number for every element in nums.

The next greater number of a number x is the first greater number to its traversing-order next in the array, which means you could search circularly to find its next greater number. If it doesn't exist, return -1 for this number.",Largest Rectangle in Histogram
https://leetcode.com/problems/largest-rectangle-in-histogram/,English,5.2,627,stack,"Given an array of integers heights representing the histogram's bar height where the width of each bar is 1, return the area of the largest rectangle in the histogram.
",Sum of Subarray Minimums
https://leetcode.com/problems/sum-of-subarray-minimums/,English,5.9,1895,stack,"Given an array of integers arr, find the sum of min(b), where b ranges over every (contiguous) subarray of arr. Since the answer may be large, return the answer modulo 109 + 7",Online Stock Span
https://leetcode.com/problems/online-stock-span/,English,5.3,1921,stack,"Design an algorithm that collects daily price quotes for some stock and returns the span of that stock's price for the current day.

The span of the stock's price in one day is the maximum number of consecutive days (starting from that day and going backward) for which the stock price was less than or equal to the price of that day.

For example, if the prices of the stock in the last four days is [7,2,1,2] and the price of the stock today is 2, then the span of today is 4 because starting from today, the price of the stock was less than or equal 2 for 4 consecutive days.
Also, if the prices of the stock in the last four days is [7,34,1,2] and the price of the stock today is 8, then the span of today is 3 because starting from today, the price of the stock was less than or equal 8 for 3 consecutive days.
Implement the StockSpanner class:

StockSpanner() Initializes the object of the class.
int next(int price) Returns the span of the stock's price given that today's price is price.",Minimum Cost Tree From Leaf Values
https://leetcode.com/problems/evaluate-reverse-polish-notation//,English,7.6,4518,stack,"You are given an array of strings tokens that represents an arithmetic expression in a Reverse Polish Notation.

Evaluate the expression. Return an integer that represents the value of the expression.

Note that:

The valid operators are '+', '-', '*', and '/'.
Each operand may be an integer or another expression.
The division between two integers always truncates toward zero.
There will not be any division by zero.
The input represents a valid arithmetic expression in a reverse polish notation.
The answer and all the intermediate calculations can be represented in a 32-bit integer.",Evaluate Reverse Polish Notation
https://leetcode.com/problems/flatten-nested-list-iterator/,English,5.9,5265,stack,"You are given a nested list of integers nestedList. Each element is either an integer or a list whose elements may also be integers or other lists. Implement an iterator to flatten it.

Implement the NestedIterator class:

NestedIterator(List<NestedInteger> nestedList) Initializes the iterator with the nested list nestedList.
int next() Returns the next integer in the nested list.
boolean hasNext() Returns true if there are still some integers in the nested list and false otherwise.
",Flatten Nested List Iterator
https://leetcode.com/problems/lru-cache/,English,5.6,3106,stack,"Design a data structure that follows the constraints of a Least Recently Used (LRU) cache.

Implement the LRUCache class:

LRUCache(int capacity) Initialize the LRU cache with positive size capacity.
int get(int key) Return the value of the key if the key exists, otherwise return -1.
void put(int key, int value) Update the value of the key if the key exists. Otherwise, add the key-value pair to the cache. If the number of keys exceeds the capacity from this operation, evict the least recently used key.
The functions get and put must each run in O(1) average time complexity.",LRU Cache
https://leetcode.com/problems/lfu-cache/,English,8,1277,stack,"Implement the LFUCache class:

LFUCache(int capacity) Initializes the object with the capacity of the data structure.
int get(int key) Gets the value of the key if the key exists in the cache. Otherwise, returns -1.
void put(int key, int value) Update the value of the key if present, or inserts the key if not already present. When the cache reaches its capacity, it should invalidate and remove the least frequently used key before inserting a new item. For this problem, when there is a tie (i.e., two or more keys with the same frequency), the least recently used key would be invalidated.
To determine the least frequently used key, a use counter is maintained for each key in the cache. The key with the smallest use counter is the least frequently used key.

When a key is first inserted into the cache, its use counter is set to 1 (due to the put operation). The use counter for a key in the cache is incremented either a get or put operation is called on it.",LFU Cache
https://leetcode.com/problems/implement-queue-using-stacks/,English,6.7,331,Queue,"Implement a first in first out (FIFO) queue using only two stacks. The implemented queue should support all the functions of a normal queue (push, peek, pop, and empty).",Implement Queue using Stacks
https://leetcode.com/problems/rotting-oranges/,English,6.6,2811,Queue,"You are given an m x n grid where each cell can have one of three values:

0 representing an empty cell,
1 representing a fresh orange, or
2 representing a rotten orange.
Every minute, any fresh orange that is 4-directionally adjacent to a rotten orange becomes rotten.
",Rotting Oranges (VVVI)
https://leetcode.com/problems/01-matrix/,English,5.8,767,Queue,"Given an m x n binary matrix mat, return the distance of the nearest 0 for each cell.

The distance between two adjacent cells is 1.",01 Matrix
https://leetcode.com/problems/sliding-window-maximum/,English,7,1533,Queue,"You are given an array of integers nums, there is a sliding window of size k which is moving from the very left of the array to the very right. You can only see the k numbers in the window. Each time the sliding window moves right by one position.",Sliding Window Maximum
https://leetcode.com/problems/sliding-window-median/,English,7.3,3025,Queue,"You are given an integer array nums and an integer k. There is a sliding window of size k which is moving from the very left of the array to the very right. You can only see the k numbers in the window. Each time the sliding window moves right by one position.

Return the median array for each window in the original array. Answers within 10-5 of the actual value will be accepted.
",Sliding Window Median
https://leetcode.com/problems/grumpy-bookstore-owner/,English,4.8,434,Queue,"There is a bookstore owner that has a store open for n minutes. Every minute, some number of customers enter the store. You are given an integer array customers of length n where customers[i] is the number of the customer that enters the store at the start of the ith minute and all those customers leave after the end of that minute.",Grumpy Bookstore Owner
https://leetcode.com/problems/max-consecutive-ones-iii/,English,5.9,433,Queue,"Given a binary array nums and an integer k, return the maximum number of consecutive 1's in the array if you can flip at most k 0's.

 ",Max Consecutive Ones III
https://leetcode.com/problems/binary-tree-preorder-traversal/,English,7.6,7047,Trees,"Given the root of a binary tree, return the preorder traversal of its nodes' values.",Binary Tree Preorder Traversal
https://leetcode.com/problems/binary-tree-inorder-traversal/,English,6,862,Trees,"Given the root of a binary tree, return the inorder traversal of its nodes' values.
",Binary Tree Inorder Traversal
https://leetcode.com/problems/binary-tree-postorder-traversal/,English,6.2,790,Trees,"Given the root of a binary tree, return the postorder traversal of its nodes' values.
",Binary Tree Postorder Traversal
https://leetcode.com/problems/binary-tree-level-order-traversal/,English,7.8,2553,Trees,"Given the root of a binary tree, return the level order traversal of its nodes' values. (i.e., from left to right, level by level).",Binary Tree Level Order Traversal
https://leetcode.com/problems/maximum-depth-of-binary-tree/,English,7.1,373,Trees,"Given the root of a binary tree, return its maximum depth.

A binary tree's maximum depth is the number of nodes along the longest path from the root node down to the farthest leaf node.
",Maximum Depth of Binary Tree
https://leetcode.com/problems/balanced-binary-tree/,English,6.4,3021,Trees,"Given a binary tree, determine if it is 
height-balanced
",Balanced Binary Tree
https://leetcode.com/problems/diameter-of-binary-tree/,English,4.9,1000,Trees,"Given the root of a binary tree, return the length of the diameter of the tree.

The diameter of a binary tree is the length of the longest path between any two nodes in a tree. This path may or may not pass through the root.",Diameter of Binary Tree
https://leetcode.com/problems/binary-tree-maximum-path-sum/,English,7.5,6396,Trees," path in a binary tree is a sequence of nodes where each pair of adjacent nodes in the sequence has an edge connecting them. A node can only appear in the sequence at most once. Note that the path does not need to pass through the root.

The path sum of a path is the sum of the node's values in the path.

Given the root of a binary tree, return the maximum path sum of any non-empty path.
",Binary Tree Maximum Path Sum
https://leetcode.com/problems/same-tree//,English,5.9,1074,Trees,"Given the roots of two binary trees p and q, write a function to check if they are the same or not.

Two binary trees are considered the same if they are structurally identical, and the nodes have the same value.",Same Tree
https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,,7.9,2051,Trees,"Given the root of a binary tree, return the zigzag level order traversal of its nodes' values. (i.e., from left to right, then right to left for the next level and alternate between).

",Binary Tree Zigzag Level Order Traversal
